trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
269090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2306090,232,1,232 Cordata/WCC,,1,5232,shp-232-01,1,1
187090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1206070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2540020,232,3,232 Cordata/WCC,,1,5232,shp-232-01,1,1
2022070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1453070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2574090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
782020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2445070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
985020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
262020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2028070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
306090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2046070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
262090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
279070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
499090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
2059070,232,2,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1205010,232,4,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1847010,232,4,232 Cordata/WCC,,1,1232,shp-232-01,1,1
428090,232,1,232 Cordata/WCC,,1,1232,shp-232-01,1,1
175020,232,3,232 Cordata/WCC,,1,3232,shp-232-01,1,1
1187070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1539090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
1990020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
75070,232,2,232 Cordata/WCC,,1,4232,shp-232-01,1,1
2404070,232,2,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2076070,232,2,232 Cordata/WCC,,1,1232,shp-232-01,1,1
2306020,232,3,232 Cordata/WCC,,1,5232,shp-232-01,1,1
1303020,232,3,232 Cordata/WCC,,1,1232,shp-232-01,1,1
1088090,232,1,232 Cordata/WCC,,1,2232,shp-232-01,1,1
2411090,232,1,232 Cordata/WCC,,1,4232,shp-232-01,1,1
1964090,232,1,232 Cordata/WCC,,1,3232,shp-232-01,1,1
